STG,STR,LPR
0.08,0.1,0.24
0.06,0.05,0.25
0.1,0.15,0.65
0.08,0.08,0.98
0.09,0.4,0.1
0.1,0.43,0.29
0.15,0.34,0.4
0.2,0.35,0.72
0,0.5,0.2
0.18,0.55,0.3
0.06,0.51,0.41
0.1,0.52,0.78
0.1,0.7,0.15
0.2,0.7,0.3
0.12,0.75,0.35
0.05,0.7,0.01
0.1,0.1,0.08
0.15,0.05,0.27
0.2,0.25,0.49
0.12,0.2,0.78
0.18,0.37,0.12
0.1,0.31,0.29
0.18,0.32,0.42
0.06,0.35,0.76
0.09,0.68,0.18
0.04,0.55,0.25
0.09,0.6,0.45
0.08,0.62,0.94
0.15,0.8,0.21
0.12,0.75,0.31
0.15,0.75,0.65
0.1,0.7,0.76
0.18,0.04,0.19
0.2,0.28,0.31
0.06,0.12,0.43
0.1,0.22,0.72
0.18,0.32,0.08
0.09,0.31,0.26
0.19,0.38,0.49
0.02,0.36,0.76
0.2,0.6,0.2
0.14,0.55,0.29
0.18,0.61,0.64
0.115,0.65,0.27
0.17,0.8,0.14
0.1,0.75,0.31
0.13,0.85,0.38
0.18,0.71,0.71
0.09,0.02,0.18
0.06,0.09,0.28
0.23,0.19,0.51
0.09,0.12,0.78
0.24,0.32,0.18
0.18,0.37,0.29
0.1,0.33,0.42
0.2,0.36,0.84
0.09,0.66,0.19
0.18,0.58,0.33
0.08,0.6,0.64
0.09,0.53,0.75
0.06,0.72,0.19
0.15,0.78,0.3
0.2,0.73,0.48
0.24,0.76,0.8
0.25,0.03,0.09
0.32,0.06,0.26
0.29,0.19,0.55
0.28,0.12,0.28
0.3,0.4,0.02
0.27,0.37,0.29
0.31,0.41,0.42
0.29,0.33,0.66
0.3,0.52,0.3
0.28,0.69,0.33
0.255,0.5,0.4
0.265,0.57,0.75
0.275,0.72,0.1
0.245,0.71,0.26
0.295,0.86,0.44
0.32,0.79,0.76
0.295,0.26,0.12
0.315,0.29,0.29
0.25,0.15,0.48
0.27,0.1,0.7
0.248,0.31,0.2
0.325,0.38,0.31
0.27,0.32,0.41
0.29,0.4,0.78
0.29,0.52,0.09
0.258,0.64,0.29
0.32,0.55,0.78
0.251,0.57,0.6
0.288,0.79,0.23
0.323,0.89,0.32
0.255,0.86,0.62
0.295,0.73,0.77
0.258,0.295,0.33
0.29,0.29,0.29
0.243,0.08,0.42
0.27,0.18,0.48
0.299,0.31,0.33
0.3,0.31,0.31
0.245,0.38,0.49
0.295,0.31,0.76
0.29,0.56,0.25
0.26,0.6,0.29
0.305,0.63,0.4
0.32,0.52,0.81
0.299,0.8,0.37
0.276,0.81,0.27
0.258,0.88,0.4
0.32,0.72,0.89
0.329,0.02,0.4
0.295,0.29,0.31
0.285,0.18,0.61
0.265,0.28,0.66
0.315,0.28,0.8
0.28,0.44,0.17
0.325,0.46,0.32
0.28,0.4,0.65
0.255,0.35,0.72
0.305,0.5,0.11
0.3,0.54,0.25
0.325,0.52,0.49
0.312,0.67,0.92
0.299,0.95,0.22
0.265,0.8,0.28
0.255,0.72,0.63
0.295,0.72,0.88
0.39,0.02,0.06
0.4,0.26,0.26
0.45,0.18,0.55
0.48,0.28,0.7
0.4,0.41,0.1
0.41,0.33,0.31
0.38,0.4,0.48
0.37,0.32,0.78
0.41,0.58,0.18
0.38,0.53,0.27
0.33,0.5,0.55
0.42,0.66,0.78
0.44,0.8,0.22
